TOBACCO_USE,VALUE
Current Smoker,current
database used from prior admission on 5/29/2010,current
NA,NA
Never,never
Never Smoker,never
10/13/2010 1040 was not charted on orignally from transfer down from ob.gyn,non_sense
30 day readmit,non_sense
30 day readmit no change in previous health history since pt here on 12-22-2006 per pt. reprinted health history from them. see forms under 12-22-2006.,non_sense
30 day readmit- previous history copied and placed in chart,non_sense
30 day readmitt,non_sense
ad hoc,non_sense
ad hoc charted by rita g rn on night shift,non_sense
ad hoc charting,non_sense
"ad hoc, done",non_sense
Addressed in Admission Adult History,non_sense
admission adult history already completed today.,non_sense
Admission Adult History completed @ Lakeland,non_sense
admission database completed in OR,non_sense
ADMISSION PHYSICAL ASSESSMENT DONE AT 0920 UPON ADMISSION TO SDCS,non_sense
Admisson Adult History completed on 10/4/07,non_sense
admit to icu,non_sense
Admitting RN did not complete,non_sense
Adult History already obtained in OB,non_sense
ah hoc,non_sense
already been charted,non_sense
Already charged by Cindy Kleine.,non_sense
Already charted,non_sense
already charted in outpatient,non_sense
already charted on,non_sense
already charted on pre-op in chart,non_sense
already charted under adhoc,non_sense
already complete,non_sense
already completed,non_sense
already completed on admission,non_sense
already completed prior shifts,non_sense
already completed prior to procedure.,non_sense
already done,non_sense
already done by previous RN.,non_sense
already done on admission,non_sense
already done this admission,non_sense
"Already done, just status changed.",non_sense
Assessment done on admission to medical surgical floor,non_sense
"Cannot assess at this time, pt intubated and sedated",non_sense
charted adhoc,non_sense
charted already,non_sense
charted at a different time,non_sense
charted at incorrect,non_sense
Charted at Incorrect Time,non_sense
"charted by cath lab RN earlier today, reviewed",non_sense
Charted By Derrick Sutrick,non_sense
charted by student,non_sense
charted from adhoc,non_sense
charted in ad hoc,non_sense
Charted on Incorrect Order,non_sense
charted per cardiac services,non_sense
CHARTED THROUGH AD HOC,non_sense
charted under AdHOc,non_sense
Charted under adhoc charting,non_sense
charted under different form,non_sense
charted via adhoc by day RN,non_sense
charted via firstnet in emergency dept.,non_sense
Cleaning up task list.,non_sense
CLEARING TASK LIST,non_sense
"clearing task list, done by ad hoc charting by day RN",non_sense
client on ace,non_sense
comleted in ED and modified and reviewed in ICU,non_sense
completed,non_sense
completed adult history 1/28/2010,non_sense
completed and printed and placed in chart from same day cardiac services,non_sense
completed and updated today in IR.,non_sense
completed as an ad hoc item,non_sense
completed by ED RN,non_sense
completed by ER RN,non_sense
Completed by Nancy Ausloos on Admission,non_sense
completed by P Piper RN,non_sense
completed in ED,non_sense
completed in ED and reviewed in ICU,non_sense
completed in ED by EDRN,non_sense
Completed in ED by RN,non_sense
completed in ED Reviewed on admission,non_sense
Completed in ED. Pt unable to give further information and no family available at this time.,non_sense
completed in ER,non_sense
completed in IR pre angiogram,non_sense
completed in the ED,non_sense
completed less than one month ago,non_sense
completed on admission to the hospital,non_sense
completed on downtime,non_sense
completed on ED,non_sense
COMPLETED PRE-OP,non_sense
completed pre-op and reviewed in ICU,non_sense
Completed prior to admission.,non_sense
"Confused pt, no source for info available",non_sense
Current,non_sense
defreed,non_sense
documented,non_sense
documented at previous time,non_sense
doen at previous hospital.,non_sense
Done,non_sense
done 8/11/06,non_sense
done already,non_sense
"Done already, exitsts in chart",non_sense
done as outpatient,non_sense
Done at Aurora Osh Kosh,non_sense
Done at Hartford,non_sense
Done at Kenosha Hospital,non_sense
done at Oshkosh,non_sense
done at WAMH,non_sense
done before cath procedure,non_sense
done by preadmission services on 1/29/2007,non_sense
Done by previous shifts,non_sense
done by sarah,non_sense
Done by SDCS,non_sense
done earlier this morning,non_sense
Done in  ED reviewed by RN in room,non_sense
done in Ad Hoc,non_sense
done in ad hoc charting or icu flowsheet,non_sense
done in am in cardiac.,non_sense
